r	s	t	A	B	C
po	tpp	po	0,1,0,2	0,2,0,1	0,3,0,1
po	tpp	tpp	0,1,0,2	0,2,0,1	0,2,0,2
po	tpp	ntpp	1,2,1,3	0,2,1,2	0,3,0,4
po	ntpp	po	0,3,1,2	2,3,1,3	1,4,0,4
po	ntpp	tpp	0,2,1,2	1,2,1,3	0,3,0,4
po	ntpp	ntpp	1,2,1,3	1,3,1,2	0,4,0,4
po	tppi	dc	0,1,0,2	0,3,0,1	2,3,0,1
po	tppi	ec	0,1,0,2	0,2,0,1	1,2,0,1
po	tppi	po	0,1,0,2	0,2,1,3	0,2,1,2
po	tppi	tppi	0,1,0,2	0,2,0,1	0,1,0,1
po	tppi	ntppi	0,3,0,3	1,2,1,4	1,2,1,2
po	ntppi	dc	0,1,0,2	0,4,1,4	2,3,2,3
po	ntppi	ec	0,1,0,2	0,3,1,4	1,2,2,3
po	ntppi	po	0,3,1,2	1,4,0,4	2,3,1,3
po	ntppi	tppi	0,3,1,2	1,4,0,3	2,3,1,2
po	ntppi	ntppi	0,3,0,4	0,4,0,3	1,2,1,2
tpp	tpp	tpp	0,1,0,1	0,1,0,2	0,2,0,2
tpp	tpp	ntpp	1,2,1,2	0,2,1,2	0,3,0,3
tpp	ntpp	ntpp	1,2,1,2	1,2,1,3	0,3,0,4
tpp	tppi	dc	0,1,0,1	0,1,0,3	0,1,2,3
tpp	tppi	ec	0,1,0,1	0,1,0,2	0,1,1,2
tpp	tppi	po	0,1,0,2	0,2,0,2	0,2,0,1
tpp	tppi	eq	0,1,0,1	0,1,0,2	0,1,0,1
tpp	tppi	tpp	0,1,0,1	0,2,0,2	0,1,0,2
tpp	tppi	tppi	0,1,0,2	0,2,0,2	0,1,0,1
tpp	ntppi	dc	0,1,0,1	0,3,0,4	1,2,2,3
tpp	ntppi	ec	0,1,0,1	0,3,0,3	1,2,1,2
tpp	ntppi	po	0,2,1,2	0,3,0,4	1,2,1,3
tpp	ntppi	tppi	0,2,1,2	0,3,0,3	1,2,1,2
tpp	ntppi	ntppi	0,3,0,3	0,3,0,4	1,2,1,2
ntpp	tpp	ntpp	1,2,1,2	0,3,0,3	0,3,0,4
ntpp	ntpp	ntpp	2,3,2,3	1,4,1,4	0,5,0,5
ntpp	ntppi	dc	1,2,1,2	0,3,0,5	1,2,3,4
ntpp	ntppi	ec	1,2,1,2	0,3,0,4	1,2,2,3
ntpp	ntppi	po	1,2,1,3	0,4,0,4	1,3,1,2
ntpp	ntppi	eq	1,2,1,2	0,3,0,3	1,2,1,2
ntpp	ntppi	tpp	1,2,1,2	0,3,0,4	1,2,1,3
ntpp	ntppi	ntpp	2,3,2,3	0,5,0,5	1,4,1,4
ntpp	ntppi	tppi	1,2,1,3	0,3,0,4	1,2,1,2
ntpp	ntppi	ntppi	1,4,1,4	0,5,0,5	2,3,2,3
tppi	tpp	po	0,1,0,2	0,1,0,1	0,2,0,1
tppi	tpp	eq	0,1,0,2	0,1,0,1	0,1,0,2
tppi	tpp	tpp	0,1,0,2	0,1,0,1	0,2,0,2
tppi	tpp	tppi	0,2,0,2	0,1,0,1	0,1,0,2
tppi	ntpp	po	0,3,1,2	2,3,1,2	1,4,0,3
tppi	ntpp	tpp	0,2,1,2	1,2,1,2	0,3,0,3
tppi	ntpp	ntpp	1,2,1,3	1,2,1,2	0,3,0,4
ntppi	ntpp	po	0,3,0,4	1,2,1,2	0,4,0,3
ntppi	ntpp	eq	0,3,0,3	1,2,1,2	0,3,0,3
ntppi	ntpp	tpp	0,3,0,3	1,2,1,2	0,3,0,4
ntppi	ntpp	ntpp	1,4,1,4	2,3,2,3	0,5,0,5
ntppi	ntpp	tppi	0,3,0,4	1,2,1,2	0,3,0,3
ntppi	ntpp	ntppi	0,5,0,5	2,3,2,3	1,4,1,4
